"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","facebook_S",1,80,1.05397174757075,0.0380833920981406,"[0.38, 1.73]",0.376053126937129,1.73206012799043,0.338492593039134,0.0205352746174906
"2","facebook_S",2,16,3.02917534274635,0.293174259026986,"[0.52, 5.52]",0.516143200571513,5.51523232995465,1.13545902274822,0.0734344159078745
"3","facebook_S",3,10,7.30310560111389,0.648721242271803,"[2.69, 11.97]",2.69126293673445,11.9726073509145,1.94616372681541,0.13306739260415
"4","ooh_S",1,80,0.0234485793216475,0.00156953229922654,"[0, 0.05]",0,0.0513860585932937,0.0139503082197818,0.000800875505382396
"5","ooh_S",2,16,0.0522785868791803,0.00852973365221751,"[0, 0.13]",0,0.125094605492769,0.0330355163826234,0.00193096604301026
"6","ooh_S",3,10,0.11082814361999,0.0185149217458019,"[0, 0.24]",0,0.244005689809335,0.0555447652374058,0.00358682040691058
"7","print_S",1,80,0.228160166196905,0.0129438987845893,"[0, 0.46]",0,0.458861295487794,0.115047888915484,0.00695916235675517
"8","print_S",2,16,0.611591548342697,0.0496814526451232,"[0.18, 1.03]",0.184179669751582,1.03132774705716,0.192415438709955,0.012444231865914
"9","print_S",3,10,1.45583856220752,0.0877075355132596,"[0.82, 2.08]",0.82392804569258,2.07877187039413,0.263122606539779,0.0179907983614253
"10","search_S",1,80,0.844939468830379,0.0283684096995729,"[0.34, 1.35]",0.339948690099113,1.35004154270631,0.252143940719866,0.0152967750913831
"11","search_S",2,16,2.11182313943804,0.143135734646651,"[0.89, 3.33]",0.886068620336035,3.32676139286378,0.554362316533642,0.0358527010666164
"12","search_S",3,10,4.9729947848001,0.319785304672721,"[2.69, 7.26]",2.68585973957951,7.26107226209079,0.959355914018162,0.0655951954600768
"13","tv_S",1,80,0.177642899473316,0.0114673289433323,"[0, 0.38]",0,0.381486022185836,0.101923849095648,0.00591246182199123
"14","tv_S",2,16,0.559130156761199,0.0562475071817226,"[0.08, 1.04]",0.077895987852568,1.03700577682339,0.217845658580494,0.0140889000619375
"15","tv_S",3,10,1.63585965759453,0.134135361519827,"[0.67, 2.59]",0.671400955645917,2.59049409960752,0.402406084559481,0.0275141950816218
